"id","text","createTime","authorMeta.id","authorMeta.secUid","authorMeta.name","authorMeta.nickName","authorMeta.verified","authorMeta.signature","authorMeta.avatar","musicMeta.musicId","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","musicMeta.playUrl","musicMeta.coverThumb","musicMeta.coverMedium","musicMeta.coverLarge","covers.default","covers.origin","covers.dynamic","webVideoUrl","videoUrl","videoUrlNoWaterMark","videoMeta.height","videoMeta.width","videoMeta.duration","diggCount","shareCount","playCount","commentCount","downloaded","mentions","hashtags"
"6845028671779065094","Piloto de la avioneta estrellada reaparece y dice que fue secuestrado por DANIEL SALCEDO 👎...como se sacan la vuelta estasratas del gobierno 💸💸",1593732435,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","6820591984311273474","A Mi Lindo Ecuador","Don Medardo y Sus Players",false,"","https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/50f648a27a064af1b539bf7ab8369ab9.jpeg","https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/50f648a27a064af1b539bf7ab8369ab9.jpeg","https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/50f648a27a064af1b539bf7ab8369ab9.jpeg","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/2c7f02b560a94e6881bec2e7ed358429?x-expires=1600552800&x-signature=nZ6kuhErdzHb2GdpVccLxBw7FvQ%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/7d27654fc4484935b6d3ca0a13798e3a_1593732437?x-expires=1600552800&x-signature=MtIZUR0pRAcai3Ez6Ik66gBHg0o%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/172dcbf44f1b43369f017b8bb12731d2_1593732436?x-expires=1600552800&x-signature=sViSUWtd6BoWA%2FBjBz7AAE4x6Y8%3D","https://www.tiktok.com/@ecuadornoticias/video/6845028671779065094","https://v19-web.tiktokcdn.com/d7f0176355611ecad5ac9d4b0b7beea7/5f667fcd/video/tos/useast2a/tos-useast2a-ve-0068c002/f8a662ec17244d2e957ae9610d8f7685/?a=1988&br=1064&bt=532&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amQ2NzRrb2o5dTMzOjczM0ApN2U2NDg2OWVoNzo2NjZlNWc2bGVhcHFsbXNfLS1eMTZzc19iLzQvLy0xXi8wYjJfNi06Yw%3D%3D&vl=&vr=","",960,540,32,70,39,9924,3,false,"[]","[]"
"6842081248781864198","Orden de captura a Flor maria Palomeque y a otroas famosos de la tv por caso daniel salcedo  #flormariapalomeque #danielsalcedo",1593046184,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","6757066900301154306","Me Cago","Los Aldeanos",false,"https://sf16-sg.tiktokcdn.com/obj/tos-alisg-v-0000/fa51380b16c0493489d51ba9f862b57e","https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/93365dda519b414b89483cce8afecac5.jpeg","https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/93365dda519b414b89483cce8afecac5.jpeg","https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/93365dda519b414b89483cce8afecac5.jpeg","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/6983d33f81894084b31981f97d61037e?x-expires=1600552800&x-signature=c8gF%2Fcuu7K5kbBEZ%2Bhri4TR2%2FrY%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/f745fa06aed64909ba57c49f8b9142e3_1593046187?x-expires=1600552800&x-signature=FSaKAkrKAQa2KHFk%2F1bGWIpBLE4%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/1c103819d2cf42d0bc6d1c45ce43f0ce_1593046186?x-expires=1600552800&x-signature=ORz%2FYRBBxGU16ftqRyoGXzhJmD4%3D","https://www.tiktok.com/@ecuadornoticias/video/6842081248781864198","https://v16-web.tiktokcdn.com/389953ef0864d91c3ba74f47cf67a6ca/5f667fcf/video/tos/useast2a/tos-useast2a-pve-0068/712a01f22d6f4e84b63674cc45981ab3/?a=1988&br=1128&bt=564&cr=0&cs=0&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amt5bW5wNmp5dTMzZjczM0ApZzc3OTNoODs8NzdpNzRlOWdhZXMxZG9sNW1fLS0tMTZzczRgMi8yMi0xYTQ0Yl5gMjQ6Yw%3D%3D&vl=&vr=","",960,540,34,6,2,468,0,false,"[]","[{""id"":""1638315799596038"",""name"":""flormariapalomeque"",""title"":"""",""cover"":""""},{""id"":""1668966707654662"",""name"":""danielsalcedo"",""title"":"""",""cover"":""""}]"
"6842065072584543493","Los gobiernos de latinoamerica son realemente pesimos, tenemos que vivir cada dia con dos virus diferentes..",1593042418,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","6758211125575157762","Jeremías 17-5","Canserbero",false,"https://sf16-sg.tiktokcdn.com/obj/tiktok-obj/b03947c2a2f638c6f7cf9af2b4a46dee.m4a","https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/e792c6b89aba428188f88a6c7f06fbd3.jpeg","https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/e792c6b89aba428188f88a6c7f06fbd3.jpeg","https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/e792c6b89aba428188f88a6c7f06fbd3.jpeg","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/67454945c2754842b1db958999c82c43?x-expires=1600552800&x-signature=37%2B7%2F8eLmXmT7R%2Bg9k%2BsNXAJV78%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/03a631854a8c430ab54c71f1282152d2_1593042420?x-expires=1600552800&x-signature=FEPOfjlqPlOH7fg6nWHmLfHejjw%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/0e37e8479df94b5bb3c4a1b41e636bad_1593042421?x-expires=1600552800&x-signature=2QzPixx9sT0JWlZthpQXt%2FINcng%3D","https://www.tiktok.com/@ecuadornoticias/video/6842065072584543493","https://v19-web.tiktokcdn.com/b04b32e366ea9305472db94e5fc6019e/5f667fcd/video/tos/useast2a/tos-useast2a-pve-0068/658a78c61e214638b310151d23df41f9/?a=1988&br=1124&bt=562&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=Mzw5a2p1c2t4dTMzZjczM0ApOGQzODk8ZDs7NzNkMzVpZGdlZG4zZmNsXm1fLS0wMTZzcy40MWIwNmIwNmI0Mi4zMmI6Yw%3D%3D&vl=&vr=","",960,540,32,249,35,30700,6,false,"[]","[]"
"6837972157864103173","Abdala Bucaram llegó uniformado y resguardado a realizarse un procedimiento cardíaco en el OMNIHOSPITAL.. 🤮🐀💵",1592089461,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","6837972133184850694","sonido original","Ecuador Noticias",true,"https://sf16-sg.tiktokcdn.com/obj/musically-maliva-obj/6837972066843626245.mp3","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_100x100.jpeg","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_720x720.jpeg","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/47dca07c552c4b22b37fd93a57178981?x-expires=1600552800&x-signature=3NVSNkEbCz0kBNQ0z%2BD6YFPZiV8%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/cffbec564d56440aae64478ce44321f2_1592089464?x-expires=1600552800&x-signature=365pUS3%2FxqXuo94K31NxM8vA%2B%2FA%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/e2d9b29125594da99ed6b1389579a934_1592089465?x-expires=1600552800&x-signature=raw%2BOZAxGFigO2AyDkOacz%2FOsSE%3D","https://www.tiktok.com/@ecuadornoticias/video/6837972157864103173","https://v19-web.tiktokcdn.com/9f9311f2e27fcdb6192810c530040c67/5f667fc5/video/tos/useast2a/tos-useast2a-ve-0068c003/f1c1944ac44b430499661b34cb69da91/?a=1988&br=3020&bt=1510&cr=0&cs=0&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amZub3E7c3hvdTMzOjczM0ApZWlpOzVnNmVlNzpoNztpaWcvNTFpMjMtaWZfLS0xMTZzc14yNmI1Yy5fMmJiLWAyNWE6Yw%3D%3D&vl=&vr=","",960,540,24,3,1,187,1,false,"[]","[]"
"6837288907550346502","‼️‼️Los impresentables del gobierno del ecuador hicieron hacen y seguiran haciendo de las suyas 😔💸💸💸💸🐀✈️",1591930381,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","6758187866204932098","Americanos","Canserbero",false,"https://sf16-sg.tiktokcdn.com/obj/tiktok-obj/ce6562f1058dd215a7d1ae5e4baf4983.m4a","https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/006517f2bbe346518cd0a2bb89101d0c.jpeg","https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/006517f2bbe346518cd0a2bb89101d0c.jpeg","https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/006517f2bbe346518cd0a2bb89101d0c.jpeg","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/5333feff61dd4021b67c70a2ba440001_1591930383?x-expires=1600552800&x-signature=JVnAeX67utNxCDU%2Fvk02c8c5FqI%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/21961a94cf284f3d9b309304f5a17437_1591930384?x-expires=1600552800&x-signature=TWU1OGHVagiCFVXCvJ56%2FR5CHvk%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/f1c0ae603c314ddda4d1a37c474d0002_1591930383?x-expires=1600552800&x-signature=RQnDMCpOvFGBo%2FYcBbJygFdornc%3D","https://www.tiktok.com/@ecuadornoticias/video/6837288907550346502","https://v19-web.tiktokcdn.com/56cee8a4729b5736cd669a28df8a9441/5f667fc5/video/tos/useast2a/tos-useast2a-ve-0068c004/87f5d2628d05480fba9765059e7abe2f/?a=1988&br=1050&bt=525&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=Mzc8NnV1d2podTMzOjczM0ApaTxnODxoO2RnN2U6M2Y2aGducl9say0xb2VfLS0yMTZzczVgXjBeNDYxX14xMDUwYDY6Yw%3D%3D&vl=&vr=","",960,540,24,100,51,10800,10,false,"[]","[]"
"6837281740097080582","PARODIA DE LOS SIMPSON DE LA CAIDA DE LA AVIONETA DONDE IBA HUYENDO DANIEL SALCEDO CON 15 millones A PERU🐀ABDALA BUCARAM DALO BUCALAM ##abdalabucaram",1591928712,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","6837281695859837702","sonido original","Ecuador Noticias",true,"https://sf16-sg.tiktokcdn.com/obj/musically-maliva-obj/6837281647658879750.mp3","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_100x100.jpeg","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_720x720.jpeg","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/4e1550dcee494b35965b203a3be33f90_1591928713?x-expires=1600552800&x-signature=A9OGu%2F0IvJNE1v%2F9EX7HK%2B0GKdc%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/6ee5963dd99c4fb3aa631710a3fab089_1591928714?x-expires=1600552800&x-signature=gLAa2Q6NUxG9ecbC1vDCkVT%2FxTE%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/7025dce83d6a4028a0448687901692ea_1591928714?x-expires=1600552800&x-signature=%2BXn5NoQxYHHQdSepTlAJeRTRtOI%3D","https://www.tiktok.com/@ecuadornoticias/video/6837281740097080582","https://v19-web.tiktokcdn.com/13c48872cbc8fd99d600a5dda9d5fbdf/5f667fc2/video/tos/useast2a/tos-useast2a-ve-0068c003/b7fb89a160984d0e92ab6f0959ddef64/?a=1988&br=2030&bt=1015&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=anZ2c3dxd2RodTMzOjczM0ApaWUzOWU0ODtkNzo6Z2lmNmdfczBjbjRfYWVfLS1jMTZzczY1YWE0Yi1hNjRiLjMzLjI6Yw%3D%3D&vl=&vr=","",540,792,21,51,15,1631,0,false,"[]","[{""id"":""1610778115461125"",""name"":""abdalabucaram"",""title"":"""",""cover"":""""}]"
"6830234299778764037","Hoy sabado 23 de mayo mi triste ecuador 😢",1590287849,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","6758211125512243201","De Mi Muerte","Canserbero",false,"https://sf16-sg.tiktokcdn.com/obj/tiktok-obj/f5e9bdfdc3fd971b77d706789745195a.m4a","https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/e792c6b89aba428188f88a6c7f06fbd3.jpeg","https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/e792c6b89aba428188f88a6c7f06fbd3.jpeg","https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/e792c6b89aba428188f88a6c7f06fbd3.jpeg","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/ab9468834eab44ee8d8f011f6785e6ab?x-expires=1600552800&x-signature=FI3eMbZYb%2Fh48uTKcUNNbVZsojE%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/921d36d2c23a4a778e40296194d6b796_1590287851?x-expires=1600552800&x-signature=qmPPtPl7oaATesAwLLndZ93HxC4%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/f79f501b4b6a465cba27c645fc3ae5f9_1590287851?x-expires=1600552800&x-signature=6ntPnkqxY6QYkb%2BW7BMes0syJZo%3D","https://www.tiktok.com/@ecuadornoticias/video/6830234299778764037","https://v19-web.tiktokcdn.com/26ce7dabd30f56f593071866dc5dc2c0/5f667fb4/video/tos/useast2a/tos-useast2a-ve-0068c001/24b370699bff46239dbb963ac8bd68d2/?a=1988&br=968&bt=484&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajxvcG9meW13dTMzOzczM0ApNzlpOzY8N2RlNzlmNTpmaGdecmpya2BzbzFfLS1iMTZzc2I1LzRgLy42LTAuLy81NGA6Yw%3D%3D&vl=&vr=","",960,540,7,36,7,7439,2,false,"[]","[]"
"6819768429193579781","KIM TE EXTRAÑAREMOS TODOS 💕💕❤️❤️ porque te fuiste porqueeeee se que te faltaron cosas por hacer pero dios te ha llamado 😭😭😭😭😭",1587851074,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","6750990329060542465","Yo Te Extrañare","tercer cielo",false,"https://sf16-sg.tiktokcdn.com/obj/tiktok-obj/04313534e1db3d16af7a72c066edfd1a.m4a","https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/96cab84b8e39481ebabf1d869cf9a147.jpeg","https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/96cab84b8e39481ebabf1d869cf9a147.jpeg","https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/96cab84b8e39481ebabf1d869cf9a147.jpeg","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/8f7e2d98a9004a96bcc662696ca612d8_1587851076?x-expires=1600552800&x-signature=d9xf6NYhHWPfq2vj0VAHSRqcNcM%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/d4b42b34c21a42439147be67888b40bb_1587851077?x-expires=1600552800&x-signature=cSOlDVfB82Kq1LvmHBu2fd1NfDI%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/bb9b808d1215494e843605790178cb25_1587851076?x-expires=1600552800&x-signature=CcMjKP5LsUtGbn7kUCzcucXfqAQ%3D","https://www.tiktok.com/@ecuadornoticias/video/6819768429193579781","https://v16-web.tiktokcdn.com/a8dfbbe25f7be89ecd52b39dbeb68b39/5f667fca/video/tos/useast2a/tos-useast2a-ve-0068c003/30dff31fd39d4f98bb424359c2efced0/?a=1988&br=740&bt=370&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajs0Zjc2b3dkdDMzaTczM0ApZmQ5ZjM1ZWRoNzU3aWY6OGdhNXM0aTVecWZfLS01MTZzczZeMDFfYDVgNS01MV81Yy06Yw%3D%3D&vl=&vr=","",960,540,29,215,23,27100,52,false,"[]","[]"
"6819449375203298565","Preparando los ataudes para la ""alza de cuarentena"" que sucedera el 4 de mayo 😢",1587776788,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","","original sound - Ecuador Noticias",,false,"","","","","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/d1d38af26f14456f99f097b021bb0bfe_1587776790?x-expires=1600552800&x-signature=hV5SPjk10Ly0dEqo4ePiRlSKVGo%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/4482a45e051c41e08ddf784f9f5cb374_1587776790?x-expires=1600552800&x-signature=n7JvjzHa9GOcuCDL6UupxQkH6Dc%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/2bc1ed1fcdab427291a0fd01559a47f0_1587776790?x-expires=1600552800&x-signature=%2FPTDajyF1%2FsQVxiqOmzCe0YWnP8%3D","https://www.tiktok.com/@ecuadornoticias/video/6819449375203298565","https://v16-web.tiktokcdn.com/ef5f15490b6ee2d1e980e0693040c147/5f667fc6/video/tos/useast2a/tos-useast2a-ve-0068c003/4cb66c62042240ca916bbdc575518fa3/?a=1988&br=1968&bt=984&cr=0&cs=0&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3NqbHlnZGRydDMzPDczM0ApNTk8ZGg8NGQ5N2Q8O2Y7OGdgLnBgbXBubWVfLS02MTZzc19eYTFiL14uXl9iYzIzNDU6Yw%3D%3D&vl=&vr=","",540,720,25,12,1,653,0,false,"[]","[]"
"6818982737530129670","Aparentemente cayo un meteorito en el recinto , Los naranjos Guayas",1587668142,"6806002910238180357","MS4wLjABAAAAcEwLVX9m_4MJdGm3AZm8RruruYHb9vijJLKm6ESw6LRZw4aPFL-NL_W_18blQTvt","ecuadornoticias","Ecuador Noticias",false,"QUITO🖤GUAYAQUIL🖤CUENCA🖤","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","6818983629482461957","sonido original","Ecuador Noticias",true,"https://sf16-sg.tiktokcdn.com/obj/musically-maliva-obj/7404a9dd47fa4d33fec4efc8bb65538a.mp3","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_100x100.jpeg","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_720x720.jpeg","https://p77-sg.tiktokcdn.com/img/musically-maliva-obj/1665420640379910~c5_1080x1080.jpeg","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/809c070b5971436aa700055f9df94241_1587668144?x-expires=1600552800&x-signature=ERl9wNQv4KRiLiIzlIMDq%2FDpSLY%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/7c14672736f34f378cee6ab64820f19d_1587668144?x-expires=1600552800&x-signature=pboWMp%2FOhFXNJLafKo6xMtDSXXY%3D","https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/59c3d42138304c488077fad2a2c20d05_1587668145?x-expires=1600552800&x-signature=7vScOk5Qt7gNORzoXz46dJkQcdY%3D","https://www.tiktok.com/@ecuadornoticias/video/6818982737530129670","https://v16-web.tiktokcdn.com/28ddfa36782dff9c4a49d5b1b47208dc/5f667fe5/video/tos/useast2a/tos-useast2a-ve-0068c003/62e7ffa9f0ea4a96b3f0dfaefd414c8f/?a=1988&br=1176&bt=588&cr=0&cs=0&dr=0&ds=3&er=&l=20200919160117010189073097420848E0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3hnZjc2bzV4dDMzaTczM0ApZjdmOWc1aDtnN2k5OmlkNWdpX280aTVeNWRfLS01MTZzczRfNjBfMzViMl4zXzJgMzE6Yw%3D%3D&vl=&vr=","",540,540,56,4,0,344,0,false,"[]","[]"
